Vivado Simulator 2019.2
Time resolution is 1 ps
time =  0, A =00000000000000000000000000000000, B=00000000000000000000000000000000, ALUcont=010, result=00000000000000000000000000000000 , zero=001
time = 20, A =00000000000000000000000000000000, B=11111111111111111111111111111111, ALUcont=010, result=11111111111111111111111111111111 , zero=000
time = 40, A =00000000000000000000000000000001, B=11111111111111111111111111111111, ALUcont=010, result=00000000000000000000000000000000 , zero=001
time = 60, A =11111111111111111111111111111111, B=00000000000000000000000000000001, ALUcont=010, result=00000000000000000000000000000000 , zero=001
time = 80, A =00000000000000000000000000000000, B=00000000000000000000000000000000, ALUcont=110, result=00000000000000000000000000000000 , zero=001
time = 100, A =00000000000000000000000000000000, B=11111111111111111111111111111111, ALUcont=110, result=00000000000000000000000000000001 , zero=000
time = 120, A =00000000000000000000000000000001, B=00000000000000000000000000000000, ALUcont=110, result=00000000000000000000000000000001 , zero=000
time = 140, A =00000000000000000000000100000000, B=00000000000000000000000000000000, ALUcont=110, result=00000000000000000000000100000000 , zero=000
time = 160, A =00000000000000000000000000000000, B=00000000000000000000000000000000, ALUcont=111, result=00000000000000000000000000000000 , zero=001
time = 180, A =00000000000000000000000000000000, B=00000000000000000000000000000001, ALUcont=111, result=00000000000000000000000000000001 , zero=000
time = 200, A =00000000000000000000000000000000, B=11111111111111111111111111111111, ALUcont=111, result=00000000000000000000000000000000 , zero=001
time = 220, A =00000000000000000000000000000001, B=00000000000000000000000000000000, ALUcont=111, result=00000000000000000000000000000000 , zero=001
time = 240, A =11111111111111111111111111111111, B=00000000000000000000000000000000, ALUcont=111, result=00000000000000000000000000000001 , zero=000
time = 260, A =11111111111111111111111111111111, B=11111111111111111111111111111111, ALUcont=000, result=11111111111111111111111111111111 , zero=000
time = 280, A =11111111111111111111111111111111, B=00010010001101000101011001111000, ALUcont=000, result=00010010001101000101011001111000 , zero=000
time = 300, A =00010010001101000101011001111000, B=10000111011001010100001100100001, ALUcont=000, result=00000010001001000100001000100000 , zero=000
time = 320, A =00000000000000000000000000000000, B=11111111111111111111111111111111, ALUcont=000, result=00000000000000000000000000000000 , zero=001
time = 340, A =11111111111111111111111111111111, B=11111111111111111111111111111111, ALUcont=001, result=11111111111111111111111111111111 , zero=000
time = 360, A =00010010001101000101011001111000, B=10000111011001010100001100100001, ALUcont=001, result=10010111011101010101011101111001 , zero=000
time = 380, A =00000000000000000000000000000000, B=11111111111111111111111111111111, ALUcont=001, result=11111111111111111111111111111111 , zero=000
time = 400, A =00000000000000000000000000000000, B=00000000000000000000000000000000, ALUcont=001, result=00000000000000000000000000000000 , zero=001
